,Name,URL,Functional_Group,Popularity %,Short_Code,Duplicate,Duplicate Notes,Verified,Has_Calcification_Rates
202,Agaricia humilis,https://coralnet.ucsd.edu/label/1188/,Hard coral,70,AgHum,False,,True,True
203,Agaricia lamarcki,https://coralnet.ucsd.edu/label/1360/,Hard coral,70,AgLam,False,,True,True
204,Agaricia Lamarcki - Bleached,https://coralnet.ucsd.edu/label/6666/,Hard coral,15,CB-ALAM,False,,False,False
205,Agaricia lamarcki Dead,https://coralnet.ucsd.edu/label/6709/,Hard coral,26,CD-ALAM,False,,False,False
206,Agaricia lamarcki - Intermediate bleaching,https://coralnet.ucsd.edu/label/6647/,Hard coral,0,CI-ALAM,False,,False,False
207,Agaricia spp.,https://coralnet.ucsd.edu/label/2962/,Hard coral,71,AG,True,Duplicate of Agaricia,False,False
208,Agaricia tenuifolia,https://coralnet.ucsd.edu/label/1766/,Hard coral,72,AgTen,False,,True,True
209,Agaricia tenuifolia - Bleached,https://coralnet.ucsd.edu/label/6667/,Hard coral,31,CB-ATEN,False,,False,False
210,Agaricia tenuifolia - Dead,https://coralnet.ucsd.edu/label/6754/,Hard coral,43,CD-ATEN,False,,False,False
211,Agaricia tenuifolia - Intermediate bleaching,https://coralnet.ucsd.edu/label/6648/,Hard coral,34,CI-ATEN,False,,False,False
212,Agaricia/Undaria,https://coralnet.ucsd.edu/label/377/,Hard coral,69,AGAR,False,,False,False
213,Agaricia undata,https://coralnet.ucsd.edu/label/1770/,Hard coral,51,AgUnd,False,,True,True
214,Agariciidae,https://coralnet.ucsd.edu/label/109/,Hard coral,67,AGARICIIDA,False,,True,False
215,Agracia agricites,https://coralnet.ucsd.edu/label/1179/,Hard coral,40,AGAG,False,,False,False
216,Alek,https://coralnet.ucsd.edu/label/3386/,Hard coral,0,alek,False,,False,False
217,Alveopora,https://coralnet.ucsd.edu/label/2037/,Hard coral,76,Alveopora,False,,True,False
218,Alveopora allingi,https://coralnet.ucsd.edu/label/6318/,Hard coral,18,allingi,False,,False,False
219,Alveopora_columnar,https://coralnet.ucsd.edu/label/6923/,Hard coral,0,Alv_col,False,,False,False
220,Alveopora_encrusting,https://coralnet.ucsd.edu/label/4957/,Hard coral,44,alvenc,False,,False,False
221,Alveopora excelsa,https://coralnet.ucsd.edu/label/6319/,Hard coral,18,excelsa,False,,False,False
222,Alveopora fenestrata,https://coralnet.ucsd.edu/label/6320/,Hard coral,18,fenestrata,False,,False,False
223,Alveopora gigas,https://coralnet.ucsd.edu/label/7300/,Hard coral,7,A. gigas,False,,False,False
224,Alveopora japonica,https://coralnet.ucsd.edu/label/6321/,Hard coral,18,Alv.j,False,,False,False
225,Alveopora_massive,https://coralnet.ucsd.edu/label/4956/,Hard coral,25,alvmas,False,,False,False
226,Alveopora spongiosa,https://coralnet.ucsd.edu/label/6322/,Hard coral,18,spongiosa,False,,False,False
227,Alveopora spp.,https://coralnet.ucsd.edu/label/5458/,Hard coral,0,ALVSP,False,,False,False
228,Alveopora_submassive,https://coralnet.ucsd.edu/label/6924/,Hard coral,0,Alv_sub,False,,False,False
229,Alveopora tizardi,https://coralnet.ucsd.edu/label/3289/,Hard coral,30,AlTiz,False,,True,False
230,Alveopora verriliana,https://coralnet.ucsd.edu/label/6323/,Hard coral,18,verriliana,False,,False,False
231,Anacropora,https://coralnet.ucsd.edu/label/4101/,Hard coral,48,Anacropora,False,,True,False
232,Anacropora_branching_closed,https://coralnet.ucsd.edu/label/6925/,Hard coral,0,Anacr_b_c,False,,False,False
233,Anacropora_bushy,https://coralnet.ucsd.edu/label/4955/,Hard coral,41,anabus,False,,False,False
234,Anacropora forbesi,https://coralnet.ucsd.edu/label/6315/,Hard coral,14,forbesi,False,,False,False
235,Anacropora matthai,https://coralnet.ucsd.edu/label/6316/,Hard coral,9,matthai,False,,False,False
236,Anacropora pillai,https://coralnet.ucsd.edu/label/6317/,Hard coral,9,pillai,False,,False,False
237,Anomastraea,https://coralnet.ucsd.edu/label/1261/,Hard coral,55,Anoma,False,,True,False
238,Anomastraea irregularis,https://coralnet.ucsd.edu/label/1574/,Hard coral,49,AnIrr,False,,True,False
239,Apalmata,https://coralnet.ucsd.edu/label/223/,Hard coral,63,APAL,True,Duplicate of Acropora palmata,False,False
240,Apalmata Bleached,https://coralnet.ucsd.edu/label/1169/,Hard coral,40,ApBl,False,,False,False
241,Apalmata live,https://coralnet.ucsd.edu/label/1166/,Hard coral,49,ApLive,False,,False,False
242,Apalmata Old Dead,https://coralnet.ucsd.edu/label/1168/,Hard coral,40,ApDead,False,,False,False
243,Apalmata Pale,https://coralnet.ucsd.edu/label/1170/,Hard coral,28,ApPale,False,,False,False
244,Apalmata Recent Mortality,https://coralnet.ucsd.edu/label/1167/,Hard coral,33,ApRM,False,,False,False
245,Arabastrea,https://coralnet.ucsd.edu/label/2526/,Hard coral,26,AR,False,,False,False
246,Arb Acro - Thick 20-50cm,https://coralnet.ucsd.edu/label/5343/,Hard coral,44,TARBA2050,False,,False,False
