,Label ID,Name,URL,Functional Group,Popularity %,Short Code,Duplicate,Duplicate Notes,Verified,Has Calcification Rates
149,7123,Acropora Robusta (RUN),https://coralnet.ucsd.edu/label/7123/,Hard coral,0,ACROROBU,False,,False,False
150,2382,Acropora samoensis,https://coralnet.ucsd.edu/label/2382/,Hard coral,34,AcrSam,False,,True,False
151,4481,Acropora sarmentosa,https://coralnet.ucsd.edu/label/4481/,Hard coral,33,ACRsa,False,,False,False
152,2383,Acropora secale,https://coralnet.ucsd.edu/label/2383/,Hard coral,40,AcrSec,False,,True,False
153,6292,Acropora selago,https://coralnet.ucsd.edu/label/6292/,Hard coral,26,selago,False,,False,False
154,5506,Acropora Simple,https://coralnet.ucsd.edu/label/5506/,Hard coral,57,AcrSim,False,,False,False
155,6274,Acropora solitaryensis,https://coralnet.ucsd.edu/label/6274/,Hard coral,26,solitaryen,False,,False,False
156,7497,Acropora sp,https://coralnet.ucsd.edu/label/7497/,Hard coral,0,acrop,False,,False,False
157,1940,Acropora sp.,https://coralnet.ucsd.edu/label/1940/,Hard coral,51,Acr_spe,False,,False,False
158,6255,Acropora_sp,https://coralnet.ucsd.edu/label/6255/,Hard coral,0,Ac_sp,False,,False,False
159,1746,Acropora Sp1.,https://coralnet.ucsd.edu/label/1746/,Hard coral,0,ASp1,False,,False,False
160,1747,Acropora Sp2,https://coralnet.ucsd.edu/label/1747/,Hard coral,0,ASp2,False,,False,False
161,1748,Acropora Sp3,https://coralnet.ucsd.edu/label/1748/,Hard coral,0,ASp3,False,,False,False
162,2388,Acropora spathulata,https://coralnet.ucsd.edu/label/2388/,Hard coral,0,AcrSpa,False,,True,False
163,6306,Acropora speciosa,https://coralnet.ucsd.edu/label/6306/,Hard coral,22,speciosa,False,,False,False
164,6275,Acropora spicifera,https://coralnet.ucsd.edu/label/6275/,Hard coral,26,spicifera,False,,False,False
165,5420,Acropora spp. branching_bleached,https://coralnet.ucsd.edu/label/5420/,Hard coral,0,ASBR_BL,False,,False,False
166,5490,Acropora spp._other,https://coralnet.ucsd.edu/label/5490/,Hard coral,48,ACRSP,False,,False,False
167,5491,Acropora spp._other_bleached,https://coralnet.ucsd.edu/label/5491/,Hard coral,48,ACRSP_BL,False,,False,False
168,5457,Acropora spp._staghorn,https://coralnet.ucsd.edu/label/5457/,Hard coral,56,ACSTA,False,,False,False
169,2434,Acropora squarrosa,https://coralnet.ucsd.edu/label/2434/,Hard coral,55,AcrSqu,False,,True,False
170,6281,Acropora striata,https://coralnet.ucsd.edu/label/6281/,Hard coral,26,striata,False,,False,False
